yPlus,Re395-18-U,Re395-18-NLTxx,Re395-18-Cxx,Re395-18-Cxy,Re395-18-urms-yPlus,Re395-18-urms,Re395-18-vrms-yPlus,Re395-18-vrms,Re395-18-wrms-yPlus,Re395-18-wrms,Re395-18-uv-yPlus,Re395-18-uv,Re395-37-U,Re395-37-urms-yPlus,Re395-37-urms,Re395-37-vrms-yPlus,Re395-37-vrms,Re395-37-wrms-yPlus,Re395-37-wrms,Re395-37-uv-yPlus,Re395-37-uv,Re395-48-U,Re395-48-urms-yPlus,Re395-48-urms,Re395-48-vrms-yPlus,Re395-48-vrms,Re395-48-wrms-yPlus,Re395-48-wrms,Re395-48-uv-yPlus,Re395-48-uv,Re180-19-yPlus,Re180-19-U,Re180-39-yPlus,Re180-39-U,Re180-54-yPlus,Re180-54-U,Re590-39-yPlus,Re590-39-U,Re1000-30-yPlus,Re1000-30-U
0,9.53E-14,0.7647,320.13,9.8565,0.598802395209582,0.00E+00,5.99E-01,0.00E+00,1.20E+00,0,1.79640718562874,0,1.10E-13,0.441988950276247,-5.13E-03,1.32596685082873,0.005128205128205,8.84E-01,-1.03E-02,3.53591160220994,0.01025641025641,1.42E-13,0,7.94E-03,0.00E+00,7.94E-03,5.69E-01,0.007925188627769,1.70545844544377,-3.39E-05,0.106,0,0.106045804662036,0,1.03468334801517,1.11948500549537,1.02205246135971,1.25748502994012,1.05019550108096,1.04571765276767
0.11897,0.12363,0.6672,320.28,10.021,3.32519318904092,0.670391061452513,8.91178536781187,1.76E-01,3.47573010403774,2.93E-01,9.08908440103036,-0.268156424581006,0.12809,1.76795580110497,0.323076923076923,9.72375690607734,0.112820512820513,3.97790055248618,1.74E-01,13.7016574585635,-0.22051282051282,0.12593,2.94579186031197,0.539624061565093,9.11434323668316,6.33E-02,2.29853049090259,1.27E-01,8.52879748621748,-0.02397877584812,0.1491,0.0748,0.149099075045188,0.074752086194486,1.18563399148356,1.25002698618307,1.53107441590204,1.79640718562874,1.13891695939299,1.15053204394995
0.47579,0.49336,0.403,320.71,10.515,5.99471448165124,1.48324022346369,17.2046967517479,4.02E-01,7.49673836684175,7.21E-01,18.2350383032817,-0.678770949720671,0.51105,2.65193370165746,0.656410256410256,19.8895027624309,0.292307692307693,8.39779005524862,4.56E-01,22.9834254143646,-0.471794871794872,0.50235,7.07020151654844,1.28557397407191,17.0967317063992,1.50E-01,8.03055675767212,3.49E-01,17.0320055694583,-0.190814156960882,0.1716,0.0931,0.171577408867606,0.093125909121454,1.27317199004683,1.3549419061077,2.24690376263681,2.45508982035928,1.23319711144968,1.25718528410034
1.0703,1.1056,-0.0091,321.39,11.333,8.11226708593986,2.17877094972067,30.8868296925702,6.28E-01,17.569330612518,0.988826815642458,31.4655604991135,-0.82122905027933,1.1448,5.30386740331492,1.00512820512821,34.0331491712707,0.461538461538462,14.1436464088398,6.77E-01,35.8011049723757,-0.646153846153847,1.125,8.32257700340565,1.88872372852654,30.2045270664384,2.61E-01,17.1734999153292,0.555214781643367,30.6515889890304,-0.381560577266826,0.2374,0.1611,0.237370649409472,0.161114303614937,1.46197569531487,1.54597464280107,2.97286370144569,2.9940119760479,1.34419887706898,1.38166121424933
1.902,1.9529,-0.5179,322.18,12.458,12.5614692402904,3.03351955307263,46.9976248620078,0.770949720670391,30.6894590706855,1.12290502793296,48.2320275649818,-0.82122905027933,2.0213,5.74585635359116,1.33846153846154,49.5027624309392,0.630769230769231,22.0994475138122,0.835897435897436,53.9226519337017,-0.651282051282051,1.9864,14.7048751575818,2.53939074642031,47.2952377368431,0.372077445575479,30.2873163113628,0.697811729730747,47.1326697649915,-0.48506218601238,0.2737,0.2534,0.273651422959645,0.253411265840789,1.56663091113751,1.64690787407756,4.41144127128192,4.37125748502994,1.39799743413506,1.30775363072337
2.9706,3.0207,-1.0598,322.72,13.844,28.9064329441675,2.58938547486033,67.3267989161342,0.846368715083798,47.4458903422206,1.14804469273743,68.5812732077744,-0.796089385474861,3.1262,7.51381215469613,1.81025641025641,73.8121546961326,0.748717948717949,30.939226519337,0.964102564102564,72.9281767955801,-0.661538461538462,3.0745,17.6356144279075,2.99171354921256,67.2263721376559,0.458983573861178,46.2385459198073,0.800669840254389,67.6117184413043,-0.509278040152783,0.3813,0.3207,0.381313929936077,0.320714579222269,1.67877784808381,1.76449648688962,5.90221836126083,5.68862275449101,1.49421902692517,1.47698519981977
4.2753,4.2786,-1.5135,322.39,15.409,47.0110059211187,2.23743016759777,90.6667112701971,0.879888268156424,67.8118623089018,1.13128491620112,91.9078045027264,-0.729050279329609,4.4332,9.28176795580111,2.22564102564103,97.6795580110497,0.779487179487179,43.3149171270718,1.03589743589744,92.817679558011,-0.615384615384615,4.3704,31.9160065478766,3.28508100174986,90.0024460458728,0.545833254934427,66.7296366681092,0.83994581067605,91.5092103034979,-0.509752196737351,0.4396,0.3807,0.439585315403216,0.380682800008131,1.92773044876777,2.01150102056837,7.65633138645425,7.12574850299401,1.66564658594347,1.66507541884479
5.8153,5.6724,-1.6707,320.26,17.023,66.8852239654769,1.95251396648045,117.017361924196,0.871508379888268,90.5730438564213,1.1145251396648,118.238383568059,-0.687150837988827,5.8978,11.9337016574586,2.57948717948718,122.430939226519,0.779487179487179,60.5524861878453,1.06153846153846,92.817679558011,-0.620512820512821,5.8449,48.3820347338514,3.10221461230173,117.321391611944,0.584973752046212,90.6316443072986,0.863281088302256,116.550699004648,-0.478503019925866,0.6093,0.6289,0.609297123941681,0.628906585671857,2.06572661847852,2.14503846757733,9.23487318237642,8.26347305389221,1.75462173912047,1.65713493466431
7.5898,7.1242,-1.3673,315.34,18.527,90.3221489980932,1.74301675977654,146.362024554243,0.863128491620111,116.933730304754,1.08100558659218,146.95079115512,-0.611731843575419,7.4558,13.2596685082873,2.89230769230769,147.624309392265,0.779487179487179,83.9779005524862,1.06153846153846,117.569060773481,-0.584615384615384,7.4559,69.3728714696973,2.77640130204903,145.776807721979,0.616155192202758,116.812614070409,0.90244416429902,145.57811353416,-0.431459913071293,0.7012,0.6625,0.701163119761817,0.662451936672816,2.37206138132954,2.45784022216989,11.3739326063047,9.58083832335329,1.81272404586588,1.84153062285536
9.5977,8.548,-0.5743,306.89,19.762,117.335162078079,1.57541899441341,177.513130164253,0.829608938547486,146.291773993912,1.0391061452514,178.058408323019,-0.536312849162012,9.0315,22.5414364640884,3.17435897435897,173.259668508287,0.769230769230769,110.055248618785,1.03589743589744,146.298342541436,-0.533333333333333,9.148,92.0706719099855,2.45055412346887,177.638624945905,0.607586505353078,145.258998626451,0.886006736034019,179.164957570512,-0.344824731405347,0.9857,0.9885,0.985660802996985,0.988526922494039,2.54186488531605,2.60420591929659,14.6050300798214,11.1976047904192,1.96840717014252,1.98812774892416
